date,equity,cash,position_value,open_positions,exposure,turnover_cash,regime,daily_return
2022-03-08,929438.0429255693,52249.53148452251,877188.5114410468,3,0.943783739129014,24306356.659837596,neutral,-0.12529990879431163
2022-03-09,965800.5491123366,52249.53148452251,913551.0176278141,3,0.9459002880744427,24306356.659837596,neutral,0.039123109349290086
2022-03-10,848857.1159208105,368124.53148452245,480732.5844362881,2,0.5663292153883945,24623023.326504264,neutral,-0.12108445506580867
2022-03-11,868201.7619613898,33957.86481785582,834243.8971435339,3,0.9608871275023212,24956356.659837596,neutral,0.022789048566312475
2022-03-14,888273.1780992711,33957.86481785582,854315.3132814153,3,0.9617709217669738,24956356.659837596,neutral,0.02311837756760271
2022-03-15,870778.070444602,33957.86481785582,836820.2056267462,3,0.9610028479466443,24956356.659837596,neutral,-0.019695638780971803
2022-03-16,1047238.2409847942,43411.97517821618,1003826.2658065781,3,0.9585462280890424,25634171.97515291,neutral,0.2026465485632809
2022-03-17,1104810.297394492,43411.97517821618,1061398.3222162758,3,0.9607063988445836,25634171.97515291,bull,0.0549751280621289
2022-03-18,1092908.1616481133,43411.97517821618,1049496.1864698972,3,0.960278478373928,25634171.97515291,bull,-0.01077301304526923
2022-03-21,1086049.451085699,43411.97517821618,1042637.4759074829,3,0.9600276256897712,25634171.97515291,bull,-0.006275651333842447
2022-03-22,1105171.6160312952,43411.97517821618,1061759.640853079,3,0.9607192452751276,25634171.97515291,neutral,0.017607084950395313
2022-03-23,1108211.68516187,1108211.68516187,0.0,0,0.0,26701640.356088903,neutral,0.002750766565551066
2022-03-24,1108211.68516187,1108211.68516187,0.0,0,0.0,26701640.356088903,neutral,0.0
2022-03-25,1108211.68516187,1108211.68516187,0.0,0,0.0,26701640.356088903,neutral,0.0
2022-03-28,1108211.68516187,1108211.68516187,0.0,0,0.0,26701640.356088903,neutral,0.0
2022-03-29,1092103.0614441158,439878.3518285367,652224.709615579,2,0.5972190104046825,27368307.022755567,neutral,-0.014535691992276112
2022-03-30,1083531.1296063145,755753.3518285367,327777.77777777775,1,0.30250887013912664,27684973.689422235,neutral,-0.00784901365120838
2022-03-31,1074392.888801407,87420.01849520346,986972.8703062036,3,0.9186331002313974,28351640.3560889,neutral,-0.008433759358836057
